model,metric,N,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,cnot_count,60.20948669307217,1909240.284792838,10918957.89339885,688280450.6984872
TFIM,cnot_count,61.53237058440274,2015887.3391193529,11444093.231496824,737684297.6173257
TFIM,cnot_count,62.88432002480307,2128491.5242937347,11994381.086150162,790634562.4874864
TFIM,cnot_count,64.26597362371439,2247385.5959477397,12571021.763383983,847385838.7454219
TFIM,cnot_count,65.67798402169159,2372920.8969010566,13175272.658888197,908210997.6923456
TFIM,cnot_count,67.12101819868548,2505468.3954113284,13808450.965161972,973402500.750424
TFIM,cnot_count,68.59575778909897,2645419.7814191924,14471936.506676681,1043273805.934424
TFIM,cnot_count,70.10289940376505,2793188.6240277393,15167174.709094979,1118160875.3032937
TFIM,cnot_count,71.64315495899928,2949211.5936369323,15895679.708869083,1198423790.641815
TFIM,cnot_count,73.21725201288207,3113949.752344448,16659037.609837893,1284448485.1429603
TFIM,cnot_count,74.8259341089292,3287889.916426184,17458909.893756215,1376648599.4195821
TFIM,cnot_count,76.46996112731358,3471546.094922727,18297036.99201216,1475467470.7720764
TFIM,cnot_count,78.15010964380372,3665461.0085829576,19175242.026133575,1581380265.2794657
TFIM,cnot_count,79.86717329658855,3870207.6936532888,20095434.725039016,1694896262.9683473
TFIM,cnot_count,81.62196316116182,4086391.195252053,21059615.527366105,1816561307.0504494
TFIM,cnot_count,83.41530813344343,4314650.355332964,22069879.877597693,1946960429.008598
TFIM,cnot_count,85.24805532131816,4555659.700521299,23128422.725121107,2086720662.1565802
TFIM,cnot_count,87.12107044477719,4810131.435401608,24237543.2357818,2236514057.205261
TFIM,cnot_count,89.03523824485134,5078817.547147166,25399649.72594366,2397060914.338302
TFIM,cnot_count,90.99146290152896,5362512.027710577,26617264.829538383,2569133247.3428273
TFIM,cnot_count,92.99066846085631,5662053.220142462,27893030.9090816,2753558496.4559317
TFIM,cnot_count,95.03379927142147,5978326.295971506,29229715.72214292,2951223507.784626
TFIM,cnot_count,97.12182043042883,6312265.870967069,30630218.355306603,3163078798.4387217
TFIM,cnot_count,99.25571823957421,6664858.767013925,32097575.43821544,3390143127.8902407
TFIM,cnot_count,101.43650067093625,7037146.928260956,33634967.65088927,3633508397.546295
TFIM,cnot_count,103.665197843104,7430230.500161032,35245726.53812614,3894344902.1002216
TFIM,cnot_count,105.94286250776592,7845271.08050119,36933341.645442575,4173906957.918812
TFIM,cnot_count,108.27057054698918,8283495.15202986,38701467.991690814,4473538935.535367
TFIM,cnot_count,110.64942148142616,8746197.706825249,40553933.894200705,4794681725.263907
TFIM,cnot_count,113.08053898968528,9234746.073115058,42494749.16303494,5138879667.031152
TFIM,cnot_count,115.56507143911476,9750583.95585589,44528113.68173409,5507787977.757055
TFIM,cnot_count,118.10419242824729,10295235.703013148,46658426.39273417,5903180712.007085
TFIM,cnot_count,120.69910134116297,10870310.810148073,48890294.70649918,6326959294.204395
TFIM,cnot_count,123.35102391403348,11477508.676623946,51228544.35430325,6781161663.43954
TFIM,cnot_count,126.06121281411222,12118623.627486013,53678229.70553328,7267972074.86105
TFIM,cnot_count,128.8309482314475,12795550.21585588,56244644.571365386,7789731604.789178
TFIM,cnot_count,131.66153848359525,13510288.821508203,58933333.51768491,8348949410.078848
TFIM,cnot_count,134.5543206336179,14264951.562175537,61750103.711205766,8948314795.8865
TFIM,cnot_count,137.51066112166308,15061768.535048943,64701037.32386573,9590710149.883226
TFIM,cnot_count,140.53195641041683,15903094.40691786,67792504.5217371,10279224805.123837
TFIM,cnot_count,143.6196336447404,16791415.37242606,71031177.06594883,11017169898.249733
TFIM,cnot_count,146.77515132579862,17729356.50100253,74424042.55438375,11808094294.486969
TFIM,cnot_count,150.0,18719689.4941813,77978419.33427505,12655801656.037695
TFIM,t_count,3.0,87643.25061581217,829953.7771689631,408292.37833853526
TFIM,t_count,3.065914059261501,92725.75225118347,873889.9258704039,438285.14496195014
TFIM,t_count,3.1332763395924443,98102.99218861492,920123.2455836431,470425.61957202794
TFIM,t_count,3.2021186603692957,103792.06253607527,968772.5463425912,504865.55478874757
TFIM,t_count,3.2724735400832756,109811.04658643377,1019962.7247977074,541767.3826412197
TFIM,t_count,3.3443742117008566,116179.07629706037,1073825.0734198273,581304.9652994163
TFIM,t_count,3.417854638361751,122916.39310271072,1130497.6052947973,623664.3984904665
TFIM,t_count,3.492949529421809,130044.4122550008,1190125.395289767,669044.8712927364
TFIM,t_count,3.5696943568483883,137585.79089297744,1252860.938410919,717659.5862596612
TFIM,t_count,3.648125371975972,145564.5000611567,1318864.5262132701,769736.7441022677
TFIM,t_count,3.7282796226299086,154005.90090394285,1388304.6421658443,825520.5974554808
TFIM,t_count,3.8101949706263993,162936.82527862457,1461358.376920657,885272.5785703092
TFIM,t_count,3.89391010965698,172385.66104318268,1538211.8644809478,949272.5061131528
TFIM,t_count,3.9794645835659415,182382.44229000318,1619060.7403137372,1017819.8766162717
TFIM,t_count,4.066898805029345,192958.94481231706,1704110.6225036352,1091235.246511688
TFIM,t_count,4.156254074644423,204148.78710681564,1793577.6170993617,1169861.711096205
TFIM,t_count,4.247572600438411,215987.5372334823,1887688.8488617344,1254066.4872195008
TFIM,t_count,4.340897517806019,228512.8258723195,1986683.018681836,1344242.606962903
TFIM,t_count,4.436272909884942,241764.46593631557,2090810.989001054,1440810.730084999
TFIM,t_count,4.533743828379057,255784.57912087042,2200336.3986309697,1544221.0835546092
TFIM,t_count,4.633356314839137,270617.7297919164,2315536.3084402527,1654955.5370740527
TFIM,t_count,4.735157422411122,286311.06663832144,2436701.8794487244,1773529.8241184242
TFIM,t_count,4.839195238062237,302914.4725388282,2564139.084944996,1900495.9186835708
TFIM,t_count,4.945518905295439,320480.7231198909,2698169.458324386,2036444.578648277
TFIM,t_count,5.054178647362944,339065.6545084113,2839130.8784279358,2182008.0674194386
TFIM,t_count,5.165225790989775,358728.34081259015,2987378.3942516404,2337863.066345425
TFIM,t_count,5.278712790618552,379531.2818950274,3143285.0909875534,2504733.791255897
TFIM,t_count,5.3946932531869765,401540.60203494044,3307242.999455836,2683395.3274213066
TFIM,t_count,5.5132219634497055,424826.26011095854,3479664.0510886586,2874677.198224758
TFIM,t_count,5.634354909856582,449462.27197258384,3660981.0807339824,3079467.1839085645
TFIM,t_count,5.758149310999454,475526.94570715376,3851648.879659631,3298715.4079023446
TFIM,t_count,5.884663642640049,503103.1305501163,4052145.3012556396,3533438.7094637402
TFIM,t_count,6.0139576653317075,532278.4802298105,4262972.422056933,3784725.3226727094
TFIM,t_count,6.146092452647985,563145.7315838226,4484657.760837853,4053739.8832218023
TFIM,t_count,6.281130420031485,595802.9993325245,4717755.558666116,4341728.7859439235
TFIM,t_count,6.419135354276543,630354.08794676,4962848.1229470745,4650025.917623501
TFIM,t_count,6.560172443659668,666908.821600994,5220547.23863837,4980058.791352352
TFIM,t_count,6.704308308732018,705583.3932606977,5491495.649972955,5333355.1105284635
TFIM,t_count,6.851611033788396,746500.73401359,5776368.616193037,5711549.792558692
TFIM,t_count,7.002150199027691,789790.9038186958,6075875.544970727,6116392.484429192
TFIM,t_count,7.155996913419903,835591.5049152472,6390761.7073728405,6549755.604554207
TFIM,t_count,7.313223848295327,884048.1192054956,6721810.038417778,7013642.947719668
TFIM,t_count,7.473905271671715,935314.771001706,7069843.027472505,7510198.892510533
TFIM,t_count,7.638117083335653,989554.4166082019,7435724.702946958,8041718.253363752
TFIM,t_count,7.805936850694743,1046939.4622946829,7820362.715963897,8610656.822333531
TFIM,t_count,7.977443845417484,1107652.3123072025,8224710.527912685,9219642.648805505
TFIM,t_count,8.152719080878196,1171885.9486587541,8649769.707037551,9871488.108767623
TFIM,t_count,8.331845350424656,1239844.544542376,9096592.339465609,10569202.818850262
TFIM,t_count,8.514907266486507,1311744.1133165392,9566283.560345845,11316007.454205599
TFIM,t_count,8.701991300542966,1387813.1951257568,10060004.211050289,12115348.533423545
TFIM,t_count,8.893185823968649,1468293.5833388283,10578973.62868214,12970914.238094674
TFIM,t_count,9.08858114977685,1553441.0931138527,11124472.574442908,13886651.339354642
TFIM,t_count,9.288269575279967,1643526.3745328842,11697846.307734508,14866783.308795338
TFIM,t_count,9.492345425687235,1738835.7728909615,12300507.813209424,15915829.696533961
TFIM,t_count,9.700905098660364,1839672.2388739563,12933941.188339498,17038626.8650126
TFIM,t_count,9.914047109848129,1946356.291518361,13599705.199444951,18240350.173285745
TFIM,t_count,10.131872139421406,2059227.0370138725,14299437.014517099,19526537.71317116
TFIM,t_count,10.354483079630663,2178643.2465871805,15034856.121578865,20903115.705716506
TFIM,t_count,10.581985083408325,2304984.496893023,15807768.441756168,22376425.674008038
TFIM,t_count,10.814485614039024,2438652.3765374906,16620070.646687068,23953253.516446773
TFIM,t_count,11.052094495921164,2580071.762568544,17473754.690366324,25640860.613284342
TFIM,t_count,11.294923966443777,2729692.170991229,18370912.56602244,27447017.108480208
TFIM,t_count,11.543088729003218,2887989.1856003623,19313741.29914337,29380037.518858932
TFIM,t_count,11.796706007184646,3055465.96967231,20304548.188314874,31448818.833153136
TFIM,t_count,12.055895600134004,3232654.865321043,21345756.306109335,33662881.27486865
TFIM,t_count,12.320779939146572,3420119.0856020395,22439910.27286177,36032411.91504505
TFIM,t_count,12.591484145498839,3618454.5047426927,23589682.316804864,38568311.33397213
TFIM,t_count,12.86813608955106,3828291.5521896,24797878.634691983,41282243.54481474
TFIM,t_count,13.150866451148302,4050297.216493103,26067446.067736104,44186689.40695778
TFIM,t_count,13.439808781348662,4285177.165398734,27401479.10841613,47295003.77277978
TFIM,t_count,13.73509956550768,4533677.9888844555,28803227.254468773,50621476.62856803
TFIM,t_count,14.036878287748836,4796589.572273342,30276102.72718568,54181398.50847871
TFIM,t_count,14.345287496850554,5074747.606965017,31823688.57197248,57991130.47990227
TFIM,t_count,14.660472873580781,5369036.246766367,33449747.160011332,62068179.01941089
TFIM,t_count,14.982583299511058,5680390.918264982,35158229.11079074,66431276.1207283
TFIM,t_count,15.311770927342508,6009801.294178417,36953282.65623839,71100464.99998076
TFIM,t_count,15.64819125277696,6358314.439130238,38839263.468205705,76097191.78896272
TFIM,t_count,15.992003187967242,6727038.137852272,40820744.97212307,81444403.63441344
TFIM,t_count,16.34336913658117,7117144.416391773,42902529.17076407,87166653.65043348
TFIM,t_count,16.702455070514905,7529873.267516321,45089658.00322517,93290213.20237836
TFIM,t_count,17.06943060829173,7966536.592157839,47387425.26546485,99843192.03390434
TFIM,t_count,17.444469095183393,8428522.369424067,49801389.12003031,106855666.78452836
TFIM,t_count,17.827747685091843,8917299.068432486,52337385.22396191,114359818.48324515
TFIM,t_count,18.21944742422992,9434420.315989492,55001540.50527351,122390079.6445351
TFIM,t_count,18.619753336640752,9981529.834952792,57800287.61990899,130983291.63682315
TFIM,t_count,19.02885451159604,10560366.668972528,60740380.122627616,140178873.0401022
TFIM,t_count,19.44694419291464,11172770.71021983,63828908.38691265,150018999.75944778
TFIM,t_count,19.8742198702436,11820688.547672516,67073316.31071572,160548797.71458605
TFIM,t_count,20.310883372344712,12506179.654547565,70481418.84664911,171816548.98283252
TFIM,t_count,20.757140962430768,13231422.934547652,74061420.39712662,183873912.33389962
TFIM,t_count,21.213203435596434,13998723.647729952,77821934.11694461,196776159.1604699
TFIM,t_count,21.679286218389816,14810520.738011107,81772002.16785376,210582425.87839794
TFIM,t_count,22.15560947057181,15669394.585600479,85921116.97187522,225355983.9452728
TFIM,t_count,22.642398189111127,16578075.20900292,90279243.51237766,241164528.7260776
TFIM,t_count,23.13988231446432,17539450.942662198,94856842.73434737,258080488.5203746
