model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,cnot_count,-1.8249999999999997,288157.4232454097,72593525.89177649,20488357.08912899
TFIM,cnot_count,-1.7999999999999998,284041.8315607004,71725018.5114201,20488494.560613144
TFIM,cnot_count,-1.775,279985.0386565314,70862748.77266489,20488630.206876714
TFIM,cnot_count,-1.75,275986.20463191887,70006701.99527156,20488763.899875876
TFIM,cnot_count,-1.7249999999999996,272044.5015892119,69156863.46197398,20488895.5011673
TFIM,cnot_count,-1.6999999999999997,268159.1134627874,68313218.41820225,20489024.860864505
TFIM,cnot_count,-1.6749999999999998,264329.2358502029,67475752.07180326,20489151.81646675
TFIM,cnot_count,-1.65,260554.0758457711,66644449.59275809,20489276.191542774
TFIM,cnot_count,-1.625,256832.85187652998,65819296.1128966,20489397.794247758
TFIM,cnot_count,-1.5999999999999996,253164.7935405623,65000276.72560706,20489516.415648434
TFIM,cnot_count,-1.5749999999999997,249549.1414476468,64187376.48554298,20489631.827826597
TFIM,cnot_count,-1.5499999999999998,245985.14706219634,63380580.40832555,20489743.781726662
TFIM,cnot_count,-1.525,242472.0725484598,62579873.47024328,20489852.004705507
TFIM,cnot_count,-1.5,239009.1906179505,61785240.60794628,20489956.197736315
TFIM,cnot_count,-1.4749999999999996,235595.784379078,60996666.71813817,20490056.032207653
TFIM,cnot_count,-1.4499999999999997,232231.1471889445,60214136.657262996,20490151.146248076
TFIM,cnot_count,-1.4249999999999998,228914.58250728468,59437635.24118877,20490241.140492167
TFIM,cnot_count,-1.4,225645.4037525138,58667147.24488565,20490325.573187336
TFIM,cnot_count,-1.375,222422.93415986327,57902657.40210079,20490403.954517674
TFIM,cnot_count,-1.3499999999999996,219246.50664156533,57144150.4050299,20490475.739995543
TFIM,cnot_count,-1.3249999999999997,216115.4636490721,56391610.903981246,20490540.322738133
TFIM,cnot_count,-1.2999999999999998,213029.15703727322,55645023.50703876,20490597.024402354
TFIM,cnot_count,-1.275,209986.94793069232,54904372.779718466,20490645.084499307
TFIM,cnot_count,-1.25,206988.2065916327,54169643.24462044,20490683.647740796
TFIM,cnot_count,-1.2249999999999996,204032.31229025175,53440819.38107725,20490711.748981427
TFIM,cnot_count,-1.1999999999999997,201118.65317654036,52717885.62479562,20490728.295207366
