model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit_corrected
TFIM,t_count,-4.2,26107242.447114393,95375884.54823586,180881835.10556847
TFIM,t_count,-4.175,25694663.481330983,94760821.97343889,180525239.54112354
TFIM,t_count,-4.15,25288393.0328096,94147697.95516625,180168624.11692512
TFIM,t_count,-4.125,24888335.821417682,93536512.81752975,179811988.76390556
TFIM,t_count,-4.1,24494397.990361392,92927266.8857778,179455333.41204464
TFIM,t_count,-4.075,24106487.085014116,92319960.48630448,179098657.99034026
TFIM,t_count,-4.05,23724512.032056637,91714593.9466556,178741962.42678216
TFIM,t_count,-4.025,23348383.118925698,91111167.59553882,178385246.64832178
TFIM,t_count,-4.0,22978011.973565366,90509681.76283012,178028510.58084214
TFIM,t_count,-3.9749999999999996,22613311.544476748,89910136.77958308,177671754.1491272
TFIM,t_count,-3.95,22254196.081062563,89312532.97803539,177314977.27682868
TFIM,t_count,-3.925,21900581.11426055,88716870.69161889,176958179.88643068
TFIM,t_count,-3.9,21552383.43746362,88123150.25496788,176601361.89921623
TFIM,t_count,-3.875,21209521.08772027,87531372.00392622,176244523.23522854
TFIM,t_count,-3.8499999999999996,20871913.32721254,86941536.27555682,175887663.81323233
TFIM,t_count,-3.825,20539480.625006992,86353643.40815109,175530783.55067372
TFIM,t_count,-3.8,20212144.63907476,85767693.74123593,175173882.36363855
TFIM,t_count,-3.775,19889828.198575992,85183687.61558393,174816960.16680726
TFIM,t_count,-3.75,19572455.28640604,84601625.37322214,174460016.87340924
TFIM,t_count,-3.7249999999999996,19259951.021998145,84021507.35743997,174103052.3951749
TFIM,t_count,-3.7,18952241.64437996,83443333.91279994,173746066.6422855
TFIM,t_count,-3.675,18649254.495479025,82867105.38514666,173389059.52331942
TFIM,t_count,-3.65,18350918.003674585,82292822.12161471,173032030.94519812
TFIM,t_count,-3.625,18057161.66759118,81720484.47063953,172674980.813129
TFIM,t_count,-3.5999999999999996,17767916.040130805,81150092.78196679,172317909.03054273
TFIM,t_count,-3.575,17483112.712740276,80581647.40666129,171960815.49903315
TFIM,t_count,-3.55,17202684.299909893,80015148.69711766,171603700.11828834
TFIM,t_count,-3.525,16926564.42389965,79450597.00706927,171246562.78602314
TFIM,t_count,-3.5,16654687.69969092,78887992.69159922,170889403.39790455
TFIM,t_count,-3.4749999999999996,16386989.720158515,78327336.10714965,170532221.84747693
TFIM,t_count,-3.45,16123407.041461,77768627.61153212,170175018.02607992
TFIM,t_count,-3.425,15863877.168645615,77211867.56393796,169817791.82276702
TFIM,t_count,-3.4,15608338.541464321,76657056.32494883,169460543.12421393
TFIM,t_count,-3.375,15356730.520398391,76104194.2565474,169103271.81462756
TFIM,t_count,-3.3499999999999996,15108993.372887854,75553281.7221271,168745977.7756474
TFIM,t_count,-3.325,14865068.259762827,75004319.08650407,168388660.88624275
TFIM,t_count,-3.3,14624897.22187378,74457306.71592757,168031321.0226046
TFIM,t_count,-3.275,14388423.166917948,73912244.97809115,167673958.05803213
TFIM,t_count,-3.25,14155589.856458133,73369134.24214289,167316571.86281106
TFIM,t_count,-3.2249999999999996,13926341.893132072,72827974.87869829,166959162.30408743
TFIM,t_count,-3.2,13700624.70804836,72288767.25985038,166601729.24573582
TFIM,t_count,-3.175,13478384.548367066,71751511.75918189,166244272.5482166
TFIM,t_count,-3.15,13259568.465061314,71216208.75177734,165886792.0684273
TFIM,t_count,-3.125,13044124.300857812,70682858.61423291,165529287.6595465
TFIM,t_count,-3.0999999999999996,12832000.678353302,70151461.72467168,165171759.17086816
TFIM,t_count,-3.075,12623146.988303715,69622018.46275239,164814206.44762424
TFIM,t_count,-3.05,12417513.378084455,69094529.20968345,164456629.33080125
TFIM,t_count,-3.025,12215050.740318034,68568994.34823574,164099027.6569422
TFIM,t_count,-3.0,12015710.701667264,68045414.26275347,163741401.25794083
TFIM,t_count,-2.975,11819445.611790836,67523789.3391687,163383749.96081808
TFIM,t_count,-2.9499999999999997,11626208.5324594,67004119.96501282,163026073.58749193
TFIM,t_count,-2.925,11435953.226828784,66486406.5294305,162668371.95452702
TFIM,t_count,-2.9,11248634.148868639,65970649.4231917,162310644.8728735
TFIM,t_count,-2.875,11064206.432943745,65456849.03870635,161952892.1475861
TFIM,t_count,-2.85,10882625.883545265,64945005.77003701,161595113.5775282
TFIM,t_count,-2.8249999999999997,10703848.96517006,64435120.01291226,161237308.95505714
TFIM,t_count,-2.8,10527832.792345429,63927192.16474163,160879478.06568596
TFIM,t_count,-2.775,10354535.119796721,63421222.62462852,160521620.68772885
TFIM,t_count,-2.75,10183914.332755968,62917211.79338461,160163736.59191778
TFIM,t_count,-2.725,10015929.437408699,62415160.07354443,159805825.5409979
TFIM,t_count,-2.6999999999999997,9850540.051477084,61915067.86937986,159447887.28929365
TFIM,t_count,-2.675,9687706.394936876,61416935.586914375,159089921.5822459
TFIM,t_count,-2.65,9527389.28086602,60920763.63393892,158731928.15591913
TFIM,t_count,-2.625,9369550.106422571,60426552.42002572,158373906.73647165
TFIM,t_count,-2.5999999999999996,9214150.843949992,59934302.35654416,158015857.03959078
TFIM,t_count,-2.5749999999999997,9061154.032207284,59444013.85667689,157657778.7698872
TFIM,t_count,-2.55,8910522.767721869,58955687.33543406,157299671.62024745
TFIM,t_count,-2.525,8762220.696263392,58469323.209670275,156941535.27113685
TFIM,t_count,-2.5,8616212.004435785,57984921.89810045,156583369.3898533
TFIM,t_count,-2.4749999999999996,8472461.4113856,57502483.82131595,156225173.62972546
TFIM,t_count,-2.4499999999999997,8330934.160624772,57022009.401800856,155866947.62924966
TFIM,t_count,-2.425,8191596.011965303,56543499.06394918,155508691.0111626
TFIM,t_count,-2.4,8054413.233563822,56066953.23408145,155150403.3814405
TFIM,t_count,-2.375,7919352.594074118,55592372.34046173,154792084.32822356
TFIM,t_count,-2.3499999999999996,7786381.354905242,55119756.81331568,154433733.42065126
TFIM,t_count,-2.3249999999999997,7655467.262583165,54649107.08484706,154075350.20760792
